317,MENE0317 M. Menenius (8),tr. pl. 410,-350
319,ICIL0319 -. Icilius (RE 850f.  and no. 3),tr. pl.? 409,-350
320,ICIL0320 -. Icilius (RE 850f. and no. 3),tr. pl.? 409,-350
321,AELI0321 P. Aelius (9),q. 409,-350
322,FABI0322 K. Fabius (42  cf. 39  48) M. f. Q. n. Ambustus,q. 409,-325
323,PAPI0323 P. Papius (Pupius 9),q. 409,-350
324,SILI0324 Q. Silius (10),q. 409,-350
325,IULI0325 C. Iulius (295) Sp. f. Vopisci n. Iullus,cens. 393,-393
326,CORN0326 P. Cornelius (119) A. f. M. n. Cossus,tr. mil. c. p. 408,-350
327,SERV0327 C. Servilius (33) P. f. Q. n. Ahala,tr. mil. c. p. 402,-350
328,CORN0328 P. Cornelius (307) M. f. L. n. Rutilus Cossus,dict. 408,-350
329,FABI0329 N. (or Cn.) Fabius (163) Q. f. M. n. Vibulanus,cos. 421,-350
330,CORN0330 Cn. Cornelius (117) P. f. A. n. Cossus,son of? P. Cornelius (118) A. f. P. n. Cossus,-325
332,MANL0332 A. Manlius (100) A. f. Cn. n. Vulso Capitolinus,tr. mil. c. p. 405,-325
333,SERG0333 M'. Sergius (27) L. f. L. n. Fidenas,tr. mil. c. p. 402,-350
334,CORN0334 P. Cornelius (250  cf. 39) (M. f. M. n.) Maluginensis,tr. mil. c. p. 404,-350
335,CLAU0335 Ap. Claudius (122) P. f. Ap. n. Crassus Inregillensis,cos. 349,-349
336,QUIN0336 M. Quinctilius (9) L. f. L. n. Varus,tr. mil. c. p. 403,-350
337,IULI0337 L. Iulius (297) Sp. ? f. Vopisci ? n. Iullus,tr. mil. c. p. 403,-350
338,FURI0338 M. Furius (60) Fusus,cens.? 389,-325
340,FURI0340 M. Furius (44) L. f. Sp. n. Camillus,cens. 403,-365
341,POST0341 M. Postumius (16) A. f. A. n. Albinus Regillensis,cens. 403,-350
342,SERV0342 Q. Servilius (56) Q. f. P. n. Fidenas,tr. mil. c. p. 386,-325
343,VERG0343 L. Verginius (15) L. f. Opet. n. Tricostus Esquilinus,tr. mil. c. p. 402,-350
344,SULP0344 Q. Sulpicius (34) Ser. f. Ser. n. Camerinus Cornutus,tr. mil. c. p. 402,-325
345,CLOD0345 Capitos Clodius (not in RE),tr. mil. c. p.? 402,-350
346,ANCU0346 M. Ancus (not in RE),tr. mil. c. p.? 402,-350
347,IULI0347 L. Iulius (298) L. f. Vopisci n. Iullus,tr. mil. c. p. 397,-325
348,ACUT0348 M. Acutius (1),tr. pl. 401,-350
349,CURI0349 P. Curiatius (4),tr. pl. 401,-350
350,LACE0350 C. Lacerius (col. 327),tr. pl. 401,-350
351,METI0351 M. Metilius (8),tr. pl. 401,-350
352,MINU0352 M. Minucius (19),tr. pl. 401,-350
353,TREB0353 Cn. Trebonius (8),tr. pl. 401,-350
354,LICI0354 P. Licinius (43) P. f. P. n. Calvus Esquilinus,tr. mil. c. p. 396,-325
355,MANL0355 P. Manlius (97) M. f. Cn. n. Vulso,tr. mil. c. p. 400,-350
356,TITI0356 L. Titinius (25) L. f. M'. n. Pansa Saccus,tr. mil. c. p. 396,-325
357,MAEL0357 P. Maelius (4) Sp. f. C. n. Capitolinus,tr. mil. c. p. 396,-325
358,FURI0358 Sp. Furius (68) L. f. Sp. n. Medullinus,tr. mil. c. p. 400,-350
359,PUBL0359 L. Publilius (13) L. f. Voler. n. Philo Vulscus,tr. mil. c. p. 400,-350
360,GENU0360 Cn. Genucius (10) M. f. M. n. Augurinus,tr. mil. c. p. 396,-396
361,ATIL0361 L. Atilius (46) L. f. L. n. Priscus,tr. mil. c. p. 396,-325
362,POMP0362 M. Pomponius (7) L. f. L. n. Rufus,brother of? Q. Pomponius (13) (tr. pl. 395),-325
363,DUIL0363 C. Duillius (8) K. f. K. n. Longus,tr. mil. c. p. 399,-325
364,VETU0364 M. Veturius (13) Ti. f. Sp. n. Crassus Cicurinus,grandson of? Sp. Veturius (15) Crassus Cicurinus (Xvir cons. imp. leg. scrib. 451),-325
365,PUBL0365 Voler. Publilius (12) P. f. Voler. n. Philo,tr. mil. c. p. 399,-325
366,VALE0366 M. Valerius (207) M. f. M. n. Lactucinus Maximus,tr. mil. c. p. 398,-325
367,CLAU0367 -. Claudius (not in RE) Ugo,tr. mil. c. p.? 398,-325
368,MARI0368 -. Marius (not in RE) Appius,tr. mil. c. p.? 398,-325
371,SERG0371 L. Sergius (26) M'. f. L. n. Fidenas,leg. amb. 394,-325
372,POST0372 A. Postumius (57) Albinus Regillensis,tr. mil. c. p. 381,-325
373,CORN0373 P. Cornelius (252) P. f. M. n. Maluginensis,cos.? 393,-325
374,MANL0374 Q. Manlius (99) A. f. Cn. n. Vulso (Capitolinus),tr. mil. c. p. 396,-325
375,CORN0375 P. Cornelius (120) P. f. A. n. Cossus,tr. mil. c. p.? 394,-325
376,CORN0376 P. Cornelius (328) Scipio,tr. mil. c. p. 395,-325
378,POMP0378 Q. Pomponius (13),tr. pl. 395,-325
379,VERG0379 A. Verginius (4),tr. pl. 395,-325
380,AEMI0380 C. Aemilius (not in RE) Ti. f. Ti. n. Mamercinus,tr. mil. c. p. 391,-325
381,VALE0381 L. Valerius (298) L. f. L. n. Poplicola,tr. mil. c. p. 394,-325
382,POST0382 Sp. Postumius (61) Albinus Regillensis,cens. 380,-380
383,CORN0383 P. Cornelius (39),tr. mil. c. p.? 394,-325
384,CATL0384 -. Catlus (not in RE) Verus,tr. mil. c. p.? 394,-325
385,SICI0385 T. Sicinius (14),tr. pl. 395,-325
387,LUCR0387 L. Lucretius (20) Tricipitinus Flavus,cos. suff. 393,-325
